Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Eileen Bellot,Unravelling Herstory,"£14,999",6-Oct-20,October,Q3,London,Hackney,Literature,"£15,000 and below",
Maya Pillay,Colour Is Too Sweet R&D,"£14,997",6-Oct-20,October,Q3,London,Camden,Theatre,"£15,000 and below",
The Ealing Club CIC,Ealing Club Eclectic,"£15,000",6-Oct-20,October,Q3,London,Ealing,Music,Grassroots Music,
Christopher Foley,CTC Company Presents: IDENTITY,"£12,500",6-Oct-20,October,Q3,London,Greenwich,Combined arts,"£15,000 and below",
Holly Stevenson,Thanks A Pot,"£1,297",6-Oct-20,October,Q3,London,Greenwich,Visual arts,"£15,000 and below",
Tamzen Moulding,Wake,"£15,000",7-Oct-20,October,Q3,South East,Milton Keynes,Theatre,"£15,000 and below",
Mark Elie Dance Foundation,Classically British,"£10,000",7-Oct-20,October,Q3,London,Kensington and Chelsea,Dance,"£15,000 and below",
Emma Frankland,Emma Frankland - Writing & Professional Development,"£15,539",7-Oct-20,October,Q3,South East,Adur,Theatre,"£15,000 and below",
Semiconductor Films Ltd,Playing with Extra Dimensions,"£14,999",7-Oct-20,October,Q3,South East,Brighton and Hove,Visual arts,"£15,000 and below",
Burnt Lemon Theatre,There is No Healing in Silence,"£11,842",7-Oct-20,October,Q3,South East,North Hertfordshire,Theatre,"£15,000 and below",
Lottie Ball,Space-Time-People,"£2,235",7-Oct-20,October,Q3,South West,"Bristol, City of",Dance,"£15,000 and below",
Cat and Mouse Theatre,SUSANN,"£14,950",7-Oct-20,October,Q3,South West,"Bristol, City of",Theatre,"£15,000 and below",
Euton Daley,Sign of the Times R&D,"£14,500",7-Oct-20,October,Q3,South East,Oxford,Combined arts,"£15,000 and below",
Guler Ates,Journeys,"£6,820",7-Oct-20,October,Q3,South East,Reading,Visual arts,"£15,000 and below",
Tess Cartwright,Truth Sleuth - Interactive Storybook,"£14,950",7-Oct-20,October,Q3,South West,Wiltshire,Combined arts,"£15,000 and below",
Jamie Hawker,Boston Blossoms,"£15,000",7-Oct-20,October,Q3,Midlands,Lincoln,Combined arts,"£15,000 and below",
Sonya Charlotte Ginsborg,Songs from the River,"£14,820",7-Oct-20,October,Q3,London,Southwark,Visual arts,"£15,000 and below",
Dan Hagley,Drag Addicts,"£10,485",7-Oct-20,October,Q3,Midlands,Birmingham,Theatre,"£15,000 and below",
William Drew,Creating a second series of original scripted podcast The People Outside,"£14,958",7-Oct-20,October,Q3,South East,Brighton and Hove,Theatre,"£15,000 and below",
Seckou Keita,Digital release R & D,"£15,000",7-Oct-20,October,Q3,Midlands,Nottingham,Music,"£15,000 and below",
Bianca Rose,Album completion and release,"£15,000",7-Oct-20,October,Q3,London,Bromley,Music,"£15,000 and below",
Rachel Parry,Malfunctioning Perfectly,"£14,329",7-Oct-20,October,Q3,Midlands,Nottingham,Combined arts,"£15,000 and below",
Vanessa Ackerman,Clara M.-Play Development and Workshops,"£9,499",7-Oct-20,October,Q3,South East,Cambridge,Theatre,"£15,000 and below",
TiME Technology in Music Education,Technology In Music Education - Connectivity to Careers,"£14,980",7-Oct-20,October,Q3,South East,Spelthorne,Music,"£15,000 and below",
Freelancers Make Theatre Work Ltd,The Big Freelance Report,"£15,000",7-Oct-20,October,Q3,South East,Brighton and Hove,Theatre,"£15,000 and below",
Adam Weymouth,Adam Weymouth,"£10,877",7-Oct-20,October,Q3,South West,Wiltshire,Literature,"£15,000 and below",
Sarah Pickering,Digital Play At Home,"£8,683",7-Oct-20,October,Q3,London,Bromley,Theatre,"£15,000 and below",
Theo Wright,No Colour No Contrast,"£9,674",7-Oct-20,October,Q3,Midlands,Coventry,Visual arts,"£15,000 and below",
Isley Lynn,REVOLUTIONS: a new play exploring the female British Arabic experience with creative captioning.,"£13,750",7-Oct-20,October,Q3,South East,Buckinghamshire,Theatre,"£15,000 and below",
Yogesh Patel,Kafka's Letters,"£3,000",7-Oct-20,October,Q3,London,Merton,Literature,"£15,000 and below",
Platform Thirty1 Limited,Blackwell Parish curated by Bring The Paint,"£15,000",7-Oct-20,October,Q3,Midlands,Bolsover,Visual arts,"£15,000 and below",
Tracey Thorne,Gone Mining,"£15,000",7-Oct-20,October,Q3,Midlands,Birmingham,Visual arts,"£15,000 and below",
Hart Club,Folk Beasts,"£16,021",7-Oct-20,October,Q3,London,Lambeth,Visual arts,"£15,000 and below",
Blackeyed Theatre,The Strange Case Of Dr Jekyll & Mr Hyde 2020/21,"£15,000",7-Oct-20,October,Q3,South East,Wokingham,Theatre,"£15,000 and below",
Candida Powell-Williams,Millefleur: Garden & Memory,"£14,746",7-Oct-20,October,Q3,London,Waltham Forest,Visual arts,"£15,000 and below",
Jack Dean & Company,Vinland Performances & Great North Road R&D,"£18,927",7-Oct-20,October,Q3,South West,Exeter,Theatre,"£15,000 and below",
Little Bulb Theatre,Little Bulb Christmas Show,"£15,000",7-Oct-20,October,Q3,South East,Waverley,Theatre,"£15,000 and below",
Kym Devine,Creative Connections Dementia Friendly Art Project,"£4,955",7-Oct-20,October,Q3,South West,East Hampshire,Visual arts,"£15,000 and below",
Cherie Brennan,THRIVE Youth Company,"£14,675",7-Oct-20,October,Q3,South West,Rushmoor,Dance,"£15,000 and below",
Joseph Morgan Schofield,These Teeming Forms,"£11,408",7-Oct-20,October,Q3,London,Hackney,Combined arts,"£15,000 and below",
InHouse Records,InHouse Records: The Podcast,"£15,000",7-Oct-20,October,Q3,South East,Brighton and Hove,Music,"£15,000 and below",
Peter Quinnell,Nonsense Street,"£9,808",7-Oct-20,October,Q3,South East,Hastings,Literature,"£15,000 and below",
Muzikstan,Muzikstan,"£14,500",7-Oct-20,October,Q3,Midlands,Birmingham,Music,"£15,000 and below",
David Barker,Legends of the Manstone,"£8,823",7-Oct-20,October,Q3,North,Rossendale,Combined arts,"£15,000 and below",
Loud and Clear productions,10 x 10,"£7,050",7-Oct-20,October,Q3,South West,Wiltshire,Literature,"£15,000 and below",
Janet Kofi-Tsekpo,Identity: Re-vision,"£14,445",7-Oct-20,October,Q3,London,Hammersmith and Fulham,Not discipline specific,"£15,000 and below",
Toucan Theatre,The Naughty Fox (+PMLD): Covid Secure and Toucan Theatre development,"£17,000",7-Oct-20,October,Q3,South East,Swale,Theatre,"£15,000 and below",
Woolwich Contemporary Print Fair,Woolwich Contemporary Print Fair 2020,"£13,700",7-Oct-20,October,Q3,London,Lewisham,Visual arts,"£15,000 and below",
Jes Fernie,Archive of Destruction,"£3,500",7-Oct-20,October,Q3,South East,Colchester,Visual arts,"£15,000 and below",
Abby Young,What a Superhero wants for Christmas,"£14,260",7-Oct-20,October,Q3,South West,Mendip,Theatre,"£15,000 and below",
Rosa-Johan Uddoh,Practice makes perfect,"£14,700",7-Oct-20,October,Q3,London,Hackney,Combined arts,"£15,000 and below",
Steve Banks,Emboldened,"£14,100",7-Oct-20,October,Q3,South West,"Bristol, City of",Music,"£15,000 and below",
Sian Keen,Wildflower R&D,"£17,399",7-Oct-20,October,Q3,South West,Exeter,Theatre,"£15,000 and below",
Amanda Smyth,The Map of Belonging,"£14,780",7-Oct-20,October,Q3,Midlands,Warwick,Literature,"£15,000 and below",
Thomas Ball,The Ding Dong Project,"£14,947",7-Oct-20,October,Q3,Midlands,Warwick,Theatre,"£15,000 and below",
Daniel Hay-Gordon,Thick & Tight Stage 7,"£14,998",7-Oct-20,October,Q3,South East,Eastbourne,Dance,"£15,000 and below",
Stuart Waters,A QUEER COLLISION R&D,"£16,447",7-Oct-20,October,Q3,South East,Eastbourne,Dance,"£15,000 and below",
Lilach Yosiphon,Kummerspeck,"£16,380",7-Oct-20,October,Q3,London,Greenwich,Theatre,"£15,000 and below",
Sunny Nwachukwu,Circles: A Choreopoem,"£15,000",8-Oct-20,October,Q3,London,Kingston upon Thames,Combined arts,"£15,000 and below",
RashDash,Organisational Development and Digital project R&D,"£15,000",8-Oct-20,October,Q3,North,Manchester,Theatre,"£15,000 and below",
Rosemary Barrett,Crocodile Sandwiches,"£1,540",8-Oct-20,October,Q3,North,Ryedale,Literature,"£15,000 and below",
Rachel Dean,Thumbelina,"£14,998",8-Oct-20,October,Q3,North,Leeds,Dance,"£15,000 and below",
Kate Plumb,research and development,"£14,884",8-Oct-20,October,Q3,North,South Ribble,Visual arts,"£15,000 and below",
Hepworth Band,Lockdown to Stage,"£15,000",8-Oct-20,October,Q3,North,Kirklees,Music,"£15,000 and below",
Salford City Council,Mystery Bird,"£14,915",8-Oct-20,October,Q3,North,Salford,Visual arts,"£15,000 and below",
Hive North Ltd,OutStageUs R&D / Performance,"£15,000",8-Oct-20,October,Q3,North,Bury,Theatre,"£15,000 and below",
Nathaniel Hall,In Equal Parts,"£16,500",8-Oct-20,October,Q3,North,Stockport,Theatre,"£15,000 and below",
Northern Quarter,Unprecedented Events,"£13,248",8-Oct-20,October,Q3,North,Kirklees,Music,Grassroots Music,
Emily Levy,Songs of Belonging,"£14,955",8-Oct-20,October,Q3,North,Bradford,Music,"£15,000 and below",
Anna Soden,Anna Soden- Freelance Artist R&D Yorkshire,"£11,600",8-Oct-20,October,Q3,North,York,Theatre,"£15,000 and below",
Robert Parkinson,Bound Art Book Fair 2020,"£3,775",8-Oct-20,October,Q3,North,Manchester,Visual arts,"£15,000 and below",
Maria Wallace,True North Music virtual music festival & concerts,"£12,891",8-Oct-20,October,Q3,North,Kirklees,Music,Grassroots Music,
Emily Goldie,Twinkle R&D,"£14,585",8-Oct-20,October,Q3,North,Leeds,Theatre,"£15,000 and below",
Barrow Underground Music Society,Enabling grass roots music to be live again,"£15,000",8-Oct-20,October,Q3,North,Barrow-in-Furness,Music,Grassroots Music,
Amy Bowles,Restore and Recover,"£10,958",9-Oct-20,October,Q3,North,Manchester,Music,"£15,000 and below",
Fabiola Santana,A Home for Grief,"£15,117",9-Oct-20,October,Q3,North,Liverpool,Visual arts,"£15,000 and below",
Cabasa carnival Arts CIC,Flags For Hope,"£9,950",9-Oct-20,October,Q3,North,Tameside,Visual arts,"£15,000 and below",
Lynn Setterington,Safety Net,"£13,000",9-Oct-20,October,Q3,North,Manchester,Visual arts,"£15,000 and below",
Alicia Radage,Encountering A New Normal,"£12,529",9-Oct-20,October,Q3,North,Kirklees,Combined arts,"£15,000 and below",
Jayne Lawless,Dead Pigeon Gallery,"£12,070",9-Oct-20,October,Q3,North,Liverpool,Visual arts,"£15,000 and below",
Coalesce Dance Theatre,The Old Green Time Machine R&D,"£15,000",9-Oct-20,October,Q3,North,Salford,Dance,"£15,000 and below",
Positive Place Makers,Once Upon A Town- inspiring a community,"£15,000",9-Oct-20,October,Q3,North,West Lancashire,Visual arts,"£15,000 and below",
Back Chat Brass Ltd,Brasstastic Beats and Where to Find Them,"£14,000",9-Oct-20,October,Q3,North,Leeds,Music,"£15,000 and below",
Newground,Blackburn BID - Believe in Blackburn town centre 2020,"£15,000",9-Oct-20,October,Q3,North,Blackburn with Darwen,Visual arts,"£15,000 and below",
Joseph A Wilkinson,Missing Persons Bureau,"£15,000",9-Oct-20,October,Q3,North,Blackburn with Darwen,Combined arts,"£15,000 and below",
The Royal Crown Derby Museum Charitable Trust,The Pattern Of Life,"£13,783",13-Oct-20,October,Q3,Midlands,Derby,Museums,"£15,000 and below",
Notnow Collective,Organisational and artistic development; digital activity; training and commissioning opportunities,"£14,697",13-Oct-20,October,Q3,Midlands,Birmingham,Combined arts,"£15,000 and below",
GreenHouse Theatre Project,Longton Town Hall,"£15,000",13-Oct-20,October,Q3,Midlands,Stoke-on-Trent,Theatre,"£15,000 and below",
Graeme Hawes,Modern Traditions - Contemporary Glass installation and development project,"£16,200",13-Oct-20,October,Q3,Midlands,Leicester,Visual arts,"£15,000 and below",
Samantha Girdham,Diversifying Theatre: A Student's Story,"£6,000",13-Oct-20,October,Q3,Midlands,North West Leicestershire,Theatre,"£15,000 and below",
Rhiannon Pinchbeck,Shedding,"£15,000",13-Oct-20,October,Q3,Midlands,Nottingham,Combined arts,"£15,000 and below",
Andrew Coburn,Drumming up the courage,"£14,205",13-Oct-20,October,Q3,Midlands,Warwick,Music,"£15,000 and below",
Krafthaus Arts CIC,R10 events for our new world,"£14,545",13-Oct-20,October,Q3,Midlands,Leicester,Combined arts,"£15,000 and below",
Chantry Dance Company,The Imprisoned Moon,"£15,000",13-Oct-20,October,Q3,Midlands,South Kesteven,Dance,"£15,000 and below",
Sam George,Clown Funeral Theatre Company - COVID-compliant development and mini-tour,"£14,957",13-Oct-20,October,Q3,Midlands,Birmingham,Theatre,"£15,000 and below",
Stirchley Snowflake Festival,Stirchley Snowflake Festival 2020,"£14,910",13-Oct-20,October,Q3,Midlands,Birmingham,Combined arts,"£15,000 and below",
Mark Gwynne Jones,Voices From The Peak - Snow & Kinder Scout,"£14,900",13-Oct-20,October,Q3,Midlands,Derbyshire Dales,Literature,"£15,000 and below",
Will Jackson,Clutch & Fashion Spies R & D,"£11,245",13-Oct-20,October,Q3,Midlands,Birmingham,Theatre,"£15,000 and below",
Chris Wight,Bone China Sound Art: Human Percussion,"£14,895",13-Oct-20,October,Q3,Midlands,Newark and Sherwood,Visual arts,"£15,000 and below",
Battersea Arts Centre,England's Performing Arts Showcase,"£2,250,000",13-Oct-20,October,Q3,London,Wandsworth,Theatre,"National activity above £100,000",
Tabitha Lamb,"T4T, a new LGBTQI+ play, and Teddy Lamb’s Queer Network","£14,319",13-Oct-20,October,Q3,Midlands,West Northamptonshire,Theatre,"£15,000 and below",
Little Earthquake,The Dog With Two Dads R&D,"£14,958",13-Oct-20,October,Q3,Midlands,Birmingham,Theatre,"£15,000 and below",
General Public,The Allotment Project,"£9,971",13-Oct-20,October,Q3,Midlands,Birmingham,Combined arts,"£15,000 and below",
Emma Dawson Varughese,And The World Changed,"£12,640",13-Oct-20,October,Q3,Midlands,Staffordshire Moorlands,Visual arts,"£15,000 and below",
GUSH Theatre,GUSH Theatre 2.0,"£13,451",13-Oct-20,October,Q3,Midlands,Birmingham,Theatre,"£15,000 and below",
Paven Virk,JASVIR,"£14,000",13-Oct-20,October,Q3,Midlands,Birmingham,Theatre,"£15,000 and below",
Strictly Arts Theatre Company,"Their Legacy, Our Fight","£14,515",13-Oct-20,October,Q3,Midlands,Coventry,Theatre,"£15,000 and below",
Jaivant Patel,Waltzing the Blue Gods - Research & Development of a new South Asian Dance production,"£14,950",13-Oct-20,October,Q3,Midlands,Wolverhampton,Dance,"£15,000 and below",
Michaela Wetherell,What does it mean to be Working Class?,"£10,000",14-Oct-20,October,Q3,North,Sunderland,Visual arts,"£15,000 and below",
Ruff Sqwad Arts Foundation,RSAF Music industry training pilot,"£12,155",14-Oct-20,October,Q3,London,Tower Hamlets,Music,"£15,000 and below",
Mr Bugg Ltd,A Kept Man - Research and Development,"£13,620",14-Oct-20,October,Q3,North,Sheffield,Theatre,"£15,000 and below",
DissCornHall,ACT NOW! @ The Corn Hall,"£13,796",14-Oct-20,October,Q3,South East,South Norfolk,Theatre,"£15,000 and below",
Pollyanna Creed,Humane Audiodrama,"£6,714",14-Oct-20,October,Q3,South East,Tendring,Theatre,"£15,000 and below",
Out Loud Music CIC,IVW 2021,"£10,110",14-Oct-20,October,Q3,South East,Ipswich,Music,"£15,000 and below",
Clara Pais,Landscape Imaginary,"£13,034",14-Oct-20,October,Q3,South East,Colchester,Visual arts,"£15,000 and below",
janet pulsford,Spirit of Place Series - Woodbridge 2021,"£8,400",14-Oct-20,October,Q3,South East,East Suffolk,Music,Grassroots Music,
Karl Sinclair,Don Sinclair Reggae Vibes: Grassroots Reggae,"£14,556",14-Oct-20,October,Q3,London,Waltham Forest,Music,Grassroots Music,
Carnesky Productions,Showwoman Digital Development & Radical Cabaret School,"£15,600",14-Oct-20,October,Q3,South East,Brighton and Hove,Combined arts,"£15,000 and below",
Ben Osborne,DarkFest 20/21,"£24,076",14-Oct-20,October,Q3,Midlands,Shropshire,Combined arts,"Above £15,000",
Nick Burton,Our Plague Year,"£10,000",14-Oct-20,October,Q3,North,Salford,Literature,"£15,000 and below",
MAKEAMPLIFY LTD,Otahi R&D,"£15,000",14-Oct-20,October,Q3,South East,Worthing,Combined arts,"£15,000 and below",
Nicola Schauerman,Covid-secure Microworld,"£9,250",14-Oct-20,October,Q3,South East,Thanet,Visual arts,"£15,000 and below",
Katie Doherty,FLOW,"£15,000",14-Oct-20,October,Q3,North,County Durham,Music,"£15,000 and below",
Flight of the Escales,Tamed Virtual Chorus,"£6,799",14-Oct-20,October,Q3,South East,East Suffolk,Combined arts,"£15,000 and below",
Carrieanne Vivianette,What Are You Hungry For? (WAYHF),"£15,000",14-Oct-20,October,Q3,North,Leeds,Theatre,"£15,000 and below",
Nottingham Community Artist Network,Reviving the Chapel,"£35,902",14-Oct-20,October,Q3,Midlands,Gedling,Music,Grassroots Music,
Nigel Wayne Sables,Digital Development,"£14,500",14-Oct-20,October,Q3,North,Doncaster,Dance,"£15,000 and below",
Chloë Smith,This Endless Sea,"£11,227",14-Oct-20,October,Q3,North,Northumberland,Dance,"£15,000 and below",
Vanessa Murrell Regalado,'Control The Virus' Virtual Exhibition,"£36,777",14-Oct-20,October,Q3,London,Hackney,Visual arts,"Above £15,000",
Nicola Lawton,Troika (working title) R&D,"£9,358",14-Oct-20,October,Q3,North,Glasgow City,Theatre,"£15,000 and below",
Sophie Burrows,Sophie Burrows,"£15,000",14-Oct-20,October,Q3,London,Lewisham,Visual arts,"£15,000 and below",
Created a Monster,Unforgettable Girl,"£4,770",14-Oct-20,October,Q3,North,Southwark,Theatre,"£15,000 and below",
Sammy Lee Studio Limited,Aviary,"£15,000",14-Oct-20,October,Q3,London,Islington,Visual arts,"£15,000 and below",
Antonia Luxem,Dreaming X,"£15,000",14-Oct-20,October,Q3,London,Hackney,Visual arts,"£15,000 and below",
Daniel Naddafy,Baby Installation,"£6,102",14-Oct-20,October,Q3,London,Hackney,Theatre,"£15,000 and below",
Frank Hamilton,Frank Hamilton,"£14,903",14-Oct-20,October,Q3,London,Lambeth,Music,"£15,000 and below",
Emma Barnard,My World: the human side of knife crime,"£27,865",14-Oct-20,October,Q3,London,Redbridge,Visual arts,"Above £15,000",
Asif Khan,Jabala and the Jinn creation & tour,"£49,680",14-Oct-20,October,Q3,London,Croydon,Theatre,"Above £15,000",
Eleanor Hardy,NoMad R&D Showing,"£6,065",14-Oct-20,October,Q3,London,Barnet,Theatre,"£15,000 and below",
Jasmin Kent Rodgman,nineteen ways of looking,"£14,324",14-Oct-20,October,Q3,London,Hackney,Combined arts,"£15,000 and below",
Guido Garcia Lueches,Playing Latinx R&D,"£10,794",14-Oct-20,October,Q3,London,Hackney,Theatre,"£15,000 and below",
Phoebe von Held,BREADSHOP R&D: dramaturgy for young people,"£7,848",14-Oct-20,October,Q3,London,Hackney,Theatre,"£15,000 and below",
Playing ON,Autumn 2020 Organisational Development,"£15,994",14-Oct-20,October,Q3,London,Lewisham,Theatre,"£15,000 and below",
Fredrik Andersson,Queer Youth Art Collective - challenging isolation in the festive season,"£11,088",14-Oct-20,October,Q3,London,Southwark,Combined arts,"£15,000 and below",
Mike Dibb,The Dungeon Art of Donny Johnson,"£14,842",14-Oct-20,October,Q3,London,Richmond upon Thames,Visual arts,"£15,000 and below",
Tower Hamlets Schools Library Services,Tower Hamlets Creative Writing Competition 2021,"£34,950",14-Oct-20,October,Q3,London,Tower Hamlets,Literature,"Above £15,000",
Kamari Romeo,TONGA: A Zambian Rock & Spoken Word Fusion,"£14,996",14-Oct-20,October,Q3,London,Greenwich,Literature,"£15,000 and below",
Bryony Byrne,Fan/Girl R&D,"£7,785",14-Oct-20,October,Q3,London,Southwark,Theatre,"£15,000 and below",
Something Human Ltd,Asia-Art-Activism 2.0: Till We Meet Again IRL,"£15,000",14-Oct-20,October,Q3,London,Lewisham,Combined arts,"£15,000 and below",
Barry Fitzgerald,A New Order 2020,"£14,589",14-Oct-20,October,Q3,London,Hackney,Theatre,"£15,000 and below",
Sara Wookey,Exploring a New Role for Dance in the Museum,"£15,000",14-Oct-20,October,Q3,London,Camden,Dance,"£15,000 and below",
Fieldnotes Journal,Fieldnotes Journal,"£8,636",14-Oct-20,October,Q3,London,Tower Hamlets,Literature,"£15,000 and below",
IJAD Dance Company,OOT Festival 2020,"£14,706",14-Oct-20,October,Q3,London,Brent,Dance,"£15,000 and below",
64 Million Artists,The January Challenge,"£32,811",14-Oct-20,October,Q3,London,Islington,Not discipline specific,"Above £15,000",
Richard Bentley,ICU Slow Media (Covid Revised),"£13,985",14-Oct-20,October,Q3,South East,South Oxfordshire,Theatre,"£15,000 and below",
Adrian Varela,Songs of Isolation,"£10,201",14-Oct-20,October,Q3,London,Lewisham,Music,"£15,000 and below",
Edward Botsio,"Brexit, Covid, Black Lives Matter","£13,329",14-Oct-20,October,Q3,London,Lambeth,Visual arts,"£15,000 and below",
Nottingham City Council,A Thousand Arrows Will Fly,"£99,990",14-Oct-20,October,Q3,Midlands,Nottingham,Combined arts,"Above £15,000",
iID,Smile Inside,"£12,593",14-Oct-20,October,Q3,South East,Woking,Combined arts,"£15,000 and below",
Rebecca Fuller,Sh!t Actually HOME & Rose Theatre 2020,"£13,600",14-Oct-20,October,Q3,South East,West Suffolk,Theatre,"£15,000 and below",
City Mine(d),El Warcha Residency,"£14,950",14-Oct-20,October,Q3,London,Camden,Visual arts,"£15,000 and below",
Ed Theakston,Theatre For Two,"£9,492",14-Oct-20,October,Q3,London,Waltham Forest,Theatre,"£15,000 and below",
House Of Ghetto,Gulley Qweens,"£14,995",14-Oct-20,October,Q3,North,Manchester,Dance,"£15,000 and below",
Seabright Productions Limited,The Sorcerer's Apprentice,"£48,796",14-Oct-20,October,Q3,London,Westminster,Theatre,"Above £15,000",
Mingyu Lin,What Is,"£4,000",14-Oct-20,October,Q3,London,Camden,Theatre,"£15,000 and below",
William Fairbrother,Paso,"£14,993",14-Oct-20,October,Q3,London,Tower Hamlets,Visual arts,"£15,000 and below",
Ri Ri's Dance Academy,R & D - Sue & Sita,"£13,400",14-Oct-20,October,Q3,North,Tameside,Dance,"£15,000 and below",
The George Tavern,the george tavern,"£21,346",14-Oct-20,October,Q3,London,Tower Hamlets,Music,Grassroots Music,
Babajide Shittu,God Bless The DreamChasers,"£8,875",14-Oct-20,October,Q3,London,Enfield,Literature,"£15,000 and below",
Tim Rushton,Pavement Poem 'Flags',"£3,000",14-Oct-20,October,Q3,North,Manchester,Literature,"£15,000 and below",
Bampton Classical Opera,Autumn 2020 recovery events,"£3,500",14-Oct-20,October,Q3,South East,West Oxfordshire,Music,"£15,000 and below",
Rosie Rowlands,The Pregnancy Circus,"£6,000",14-Oct-20,October,Q3,London,Waltham Forest,Theatre,"£15,000 and below",
Kauma Arts,Kauma Brief Encounters (KBE),"£15,000",14-Oct-20,October,Q3,London,Haringey,Dance,"£15,000 and below",
Cockahoop Theatre,The Strongbox Workshops,"£8,534",14-Oct-20,October,Q3,London,Southwark,Theatre,"£15,000 and below",
Selina Brown,LISA & LUCA,"£4,170",14-Oct-20,October,Q3,London,Ealing,Theatre,"£15,000 and below",
Patrick Lynch,Play@Home,"£10,000",14-Oct-20,October,Q3,London,Wandsworth,Theatre,"£15,000 and below",
The Rialto,The Republic of Poetry,"£56,540",15-Oct-20,October,Q3,South East,Norwich,Literature,"Above £15,000",
Whispering Woods,Breath of Beginning,"£14,500",15-Oct-20,October,Q3,South West,"Bristol, City of",Theatre,"£15,000 and below",
Switchflicker Productions,A Grand Auction of My Life by David Hoyle,"£8,400",15-Oct-20,October,Q3,North,Manchester,Theatre,"£15,000 and below",
Ruth Mitchell,Invisible Other R&D,"£9,262",15-Oct-20,October,Q3,South West,Cornwall,Theatre,"£15,000 and below",
Roche Brass,Roche Brass - Set of Timpani and Tubular Bells,"£15,000",15-Oct-20,October,Q3,South West,Cornwall,Music,Grassroots Music,
All In Productions,BeWILDerwood R+D,"£17,849",15-Oct-20,October,Q3,South East,Norwich,Theatre,"£15,000 and below",
Emma Lister,Movers Shakers Makers,"£1,375",15-Oct-20,October,Q3,South East,South Norfolk,Dance,"£15,000 and below",
Gareth Butterworth,Manchester Psych Fest 2021,"£28,813",15-Oct-20,October,Q3,North,Manchester,Music,"Above £15,000",
Prodigal Theatre,The Emergent Ensemble,"£46,642",15-Oct-20,October,Q3,South West,Cornwall,Theatre,"Above £15,000",
Si Rawlinson,Wayward Thread New Work 2020/21,"£14,487",15-Oct-20,October,Q3,Midlands,Leicester,Dance,"£15,000 and below",
Squidsoup Ltd,Developing a new community outreach model: Where There Is Light,"£14,880",15-Oct-20,October,Q3,South West,Cotswold,Visual arts,"£15,000 and below",
Next Door But One,Building Back Creative People and Places,"£21,791",15-Oct-20,October,Q3,North,York,Theatre,"Above £15,000",
The Paulsgrove and Wymering Carnival Association,Paulsgrove's Pass the Puppets,"£14,707",15-Oct-20,October,Q3,South West,Portsmouth,Combined arts,"£15,000 and below",
MSL Projects,The Sea Beneath,"£49,310",15-Oct-20,October,Q3,South East,Hastings,Combined arts,"Above £15,000",
Theatre Temoin Limited,Re-Emerge & Respond,"£30,000",15-Oct-20,October,Q3,South East,Colchester,Theatre,"Above £15,000",
Make North,Pottery & Print Video Tutorials,"£5,700",15-Oct-20,October,Q3,North,Preston,Visual arts,"£15,000 and below",
St Just & District Trust,St Just Ordinalia 2021,"£74,463",15-Oct-20,October,Q3,South West,Cornwall,Theatre,"Above £15,000",
James Lake,R&D and professional development as a disabled sculptor,"£18,723",15-Oct-20,October,Q3,South West,Exeter,Visual arts,"£15,000 and below",
Bridget Fiske,They Gather: An Absurdist Archive of Isolation,"£14,963",15-Oct-20,October,Q3,North,Trafford,Dance,"£15,000 and below",
John Ramm,The Strange Tales of Virgil Kaylock,"£12,000",15-Oct-20,October,Q3,South East,Brighton and Hove,Theatre,"£15,000 and below",
The Knotted Project,Forge the Future,"£25,000",15-Oct-20,October,Q3,North,South Lakeland,Theatre,"Above £15,000",
Hartlepool Wintertide Festival,Hartlepool Wintertide Festival 2020 'Keeping The Lights On',"£15,000",15-Oct-20,October,Q3,North,Hartlepool,Combined arts,"£15,000 and below",
Mary Dalton,Washroom PrintShop: Colouring Journal,"£4,800",15-Oct-20,October,Q3,South West,East Hampshire,Visual arts,"£15,000 and below",
Judith Anketell,The Fateful Tale of Chesapeake Bay,"£5,760",15-Oct-20,October,Q3,South East,Folkestone and Hythe,Literature,"£15,000 and below",
Gavin SHARP,Edward II Nucleus Roots - New Sounds of Manchester,"£14,600",15-Oct-20,October,Q3,North,Stockport,Music,"£15,000 and below",
Annie Brooks,Di Ist Tak,"£14,450",15-Oct-20,October,Q3,South East,Brighton and Hove,Theatre,"£15,000 and below",
Lewes Live Literature,Supporting freelancers and supporting community participation,"£13,774",15-Oct-20,October,Q3,South East,Lewes,Literature,"£15,000 and below",
Jasmine O’Hare,Cut and Stick Club,"£7,520",15-Oct-20,October,Q3,South West,Dorset,Visual arts,"£15,000 and below",
Matthew Allen,Anxiety Arcade,"£15,623",15-Oct-20,October,Q3,North,Leeds,Combined arts,"£15,000 and below",
The Bristol Ensemble Ltd,The Lark Ascending 100th Anniversary,"£15,000",15-Oct-20,October,Q3,South West,"Bristol, City of",Music,"£15,000 and below",
Jane Devoy,Talking Pictures,"£14,127",15-Oct-20,October,Q3,South West,Cheltenham,Combined arts,"£15,000 and below",
BEEE Creative CIC,A-MUSE,"£47,177",15-Oct-20,October,Q3,South East,Central Bedfordshire,Dance,"Above £15,000",
Elisabeth Sennitt Clough,Postmemory: Huguenot Histories,"£6,000",15-Oct-20,October,Q3,South East,Fenland,Literature,"£15,000 and below",
Louise Orwin,LO&Co 2020/21 Company and Participation Growth Plan,"£49,616",15-Oct-20,October,Q3,London,Southwark,Combined arts,"Above £15,000",
