Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Truan Jay Mathias,Living in Bubbles,"£14,968",16-Jun-21,June,Q1,South West,"Bristol, City of",Combined arts,"£15,000 and below"
Juliette Burton,Juliette Burton: Hopepunk R&D - 2021,"£14,850",16-Jun-21,June,Q1,South East,Huntingdonshire,Theatre,"£15,000 and below"
Michael Wolters,The Low Miracles re-submission,"£5,388",16-Jun-21,June,Q1,Midlands,Birmingham,Music,"£15,000 and below"
Daniel Regan,Tavi BAME Commission,"£16,905",16-Jun-21,June,Q1,London,Southwark,Visual arts,"£15,000 and below"
Kirsty Taylor,Cash Converters: The Musical,"£15,000",16-Jun-21,June,Q1,North,Bradford,Theatre,"£15,000 and below"
Wye Valley River Festival CIC,Wye Valley River Festival CIC organisational development,"£15,364",16-Jun-21,June,Q1,Midlands,"Herefordshire, County of",Combined arts,"£15,000 and below"
The Children's Art School,MakerWorld Summer Camp,"£14,970",16-Jun-21,June,Q1,North,Kirklees,Combined arts,"£15,000 and below"
Sidonie Carey-Green,The Becoming Series (resubmission),"£14,900",16-Jun-21,June,Q1,South East,Maidstone,Dance,"£15,000 and below"
Kurt Kansley,Confessions 3,"£12,177",16-Jun-21,June,Q1,South East,Slough,Theatre,"£15,000 and below"
West Devon Art Workshops CIC,West Devon Craft for All,"£12,340",16-Jun-21,June,Q1,South West,West Devon,Visual arts,"£15,000 and below"
Worcester Arts Workshop,WAW Legacy Project: Mobilise,"£14,800",16-Jun-21,June,Q1,Midlands,Worcester,Theatre,"£15,000 and below"
Power Play Theatre CIC,HOLLOWAY PRISON ARCHIVE/WORKSHOPS,"£15,000",16-Jun-21,June,Q1,London,Kensington and Chelsea,Theatre,"£15,000 and below"
Divergency,Divergency: Beyond Europe,"£14,750",16-Jun-21,June,Q1,North,Manchester,Combined arts,"£15,000 and below"
Matthew Seager,In Other Words - Digital Theatre,"£15,000",16-Jun-21,June,Q1,London,Merton,Theatre,"£15,000 and below"
Newhaven Open Call,Newhaven Open Call 2021,"£15,000",16-Jun-21,June,Q1,South East,Lewes,Not discipline specific,"£15,000 and below"
Arcus Studios Ltd,Illustris,"£12,750",16-Jun-21,June,Q1,North,Gateshead,Visual arts,"£15,000 and below"
Becoming Mums,Creative Motherhood,"£12,450",16-Jun-21,June,Q1,South East,Wokingham,Combined arts,"£15,000 and below"
Alex Pearson,Future Aleppo- School Workshop Kits,"£14,990",16-Jun-21,June,Q1,London,Bromley,Combined arts,"£15,000 and below"
Hebden Bridge Arts Festival,Engaging Neighbourhoods,"£14,500",16-Jun-21,June,Q1,North,Calderdale,Combined arts,"£15,000 and below"
Katie Tomlinson,Katie Tomlinson Solo Exhibition,"£12,950",16-Jun-21,June,Q1,North,Manchester,Visual arts,"£15,000 and below"
Trystan Chambers,Light Work,"£14,950",16-Jun-21,June,Q1,South West,South Gloucestershire,Theatre,"£15,000 and below"
Out The Attic Productions,That's What She Said,"£10,000",16-Jun-21,June,Q1,North,Selby,Theatre,"£15,000 and below"
The London Book Fair,The London Book Fair,"£8,500",16-Jun-21,June,Q1,London,Richmond upon Thames,Literature,"£15,000 and below"
Little Bulb Theatre,'Listen/Dance' & 'The Feast' Research and Development periods.,"£15,000",16-Jun-21,June,Q1,South West,Mendip,Theatre,"£15,000 and below"
FIX FLASH,HEAD SHOTS,"£1,804",16-Jun-21,June,Q1,London,Lambeth,Visual arts,"£15,000 and below"
Kaizen Arts CIC,York Design Week,"£14,975",16-Jun-21,June,Q1,North,Ryedale,Combined arts,"£15,000 and below"
Simon Belshaw,Library Card Music Player,"£3,498",16-Jun-21,June,Q1,South West,Exeter,Music,"£15,000 and below"
Leeds Lieder,Leeds Lieder 2021 Festival,"£35,000",16-Jun-21,June,Q1,North,Leeds,Music,"Over £15,000"
Big Brum Theatre in Education Company,Romeo and Juliet & Socially Distant Schools Tour Autumn 2021,"£66,500",16-Jun-21,June,Q1,Midlands,Birmingham,Theatre,"Over £15,000"
The Photographers' Gallery,Open Space,"£49,990",16-Jun-21,June,Q1,London,Westminster,Visual arts,"Over £15,000"
Season 7,Silver Lining - Coffee Table Book,"£15,000",16-Jun-21,June,Q1,London,Greenwich,Visual arts,"£15,000 and below"
Shey Housden,Badger Watching,"£12,650",16-Jun-21,June,Q1,South East,Norwich,Theatre,"£15,000 and below"
Stanley Picker Gallery,SPG 2021 Digital Programme,"£19,000",16-Jun-21,June,Q1,London,Kingston upon Thames,Visual arts,"Over £15,000"
Fleur Hall,Nature's Dance Resubmission,"£13,965",16-Jun-21,June,Q1,Midlands,Lichfield,Dance,"£15,000 and below"
Akademi,Plastics - Drastic & Fantastic,"£59,215",16-Jun-21,June,Q1,London,Camden,Dance,"Over £15,000"
Deco Publique,Vintage by the Sea 2021,"£15,000",16-Jun-21,June,Q1,North,Lancaster,Combined arts,"£15,000 and below"
Fatt Projects,PALAVER!,"£55,400",16-Jun-21,June,Q1,Midlands,Birmingham,Theatre,"Over £15,000"
"Modern Painters, New Decorators",Programme 21-22: Archive Fever,"£26,155",16-Jun-21,June,Q1,Midlands,Charnwood,Visual arts,"Over £15,000"
Homotopia Limited,QueerChange Talent Dev Partnership Project,"£31,460",16-Jun-21,June,Q1,North,Liverpool,Combined arts,"Over £15,000"
Louie Genis,Perspective,"£12,652",16-Jun-21,June,Q1,South East,Reading,Music,"£15,000 and below"
The Kut,You Can't Be What You Can't See: Promoting Discourse on Inclusivity via The Kut Sophomore Album,"£14,990",16-Jun-21,June,Q1,London,Hammersmith and Fulham,Music,"£15,000 and below"
Eleven Design,Our Favourite Places R&D,"£26,751",16-Jun-21,June,Q1,North,Sheffield,Combined arts,"Over £15,000"
Holmfirth Arts Festival,Art and About Holmfirth Arts Festival September 21,"£33,705",16-Jun-21,June,Q1,North,Kirklees,Combined arts,"Over £15,000"
Highlights Productions,"H.A.N.D.S Helping, artists, needs, develop sustainably","£49,373",16-Jun-21,June,Q1,North,Eden,Not discipline specific,"Over £15,000"
Stockton Arts Centre Ltd,What's On Your Mind?,"£49,920",16-Jun-21,June,Q1,North,Stockton-on-Tees,Combined arts,"Over £15,000"
Nicola Lawton,Troika R&D Stage 2,"£26,000",16-Jun-21,June,Q1,North,Glasgow City,Combined arts,"Over £15,000"
Tamar Lindesay,Hercules Editions: Liz Berry and Hannah Lowe new titles,"£10,000",16-Jun-21,June,Q1,London,Lambeth,Literature,"£15,000 and below"
John James Chandler,The Red Brick Road,"£16,513",16-Jun-21,June,Q1,South East,Babergh,Theatre,"£15,000 and below"
Dyanna Fearon,The Melody Men,"£12,064",16-Jun-21,June,Q1,Midlands,Birmingham,Music,"£15,000 and below"
Christopher Butler,A Different Light,"£6,861",16-Jun-21,June,Q1,North,Stockport,Visual arts,"£15,000 and below"
Katie Walters,Seasick,"£19,870",16-Jun-21,June,Q1,Midlands,Warwick,Theatre,"£15,000 and below"
Will Jackson,Confetti R & D Summer 2021,"£7,170",16-Jun-21,June,Q1,Midlands,Birmingham,Theatre,"£15,000 and below"
Nora,Nora the Many production/premiere & Nora Reels online distribution,"£16,750",16-Jun-21,June,Q1,Midlands,Nottingham,Dance,"£15,000 and below"
Middlesbrough Mela Association,Middlesbrough Mela Connecting Communities,"£60,200",16-Jun-21,June,Q1,North,Middlesbrough,Combined arts,"Over £15,000"
Theatre Centre,Future Makers Future Fest,"£48,684",16-Jun-21,June,Q1,London,Lewisham,Theatre,"Over £15,000"
Stellar Projects,Nightfall 2021,"£60,000",16-Jun-21,June,Q1,North,Stockton-on-Tees,Combined arts,"Over £15,000"
North Lincolnshire Council 20-21 Visual Arts Centre,Of Earth & Sky + Online Commissions,"£48,830",16-Jun-21,June,Q1,North,North Lincolnshire,Visual arts,"Over £15,000"
Rogue Artists' Studios,Rogue Residency Accommodation,"£25,000",16-Jun-21,June,Q1,North,Manchester,Visual arts,"Over £15,000"
Derby Regional Management Centre,In Good Company Transition 2021-23,"£93,000",16-Jun-21,June,Q1,Midlands,Derby,Theatre,"Over £15,000"
Ester Natzijl,Finding Grace,"£13,781",16-Jun-21,June,Q1,South East,Brighton and Hove,Combined arts,"£15,000 and below"
Salma Zulfiqar,ARTconnects for Solidarity Phase 3,"£25,500",16-Jun-21,June,Q1,Midlands,Solihull,Visual arts,"Over £15,000"
Octopus Collective Ltd.,Piel View House Capital Project,"£30,000",16-Jun-21,June,Q1,North,Barrow-in-Furness,Music,"Over £15,000"
Outside In Theatre,Outside In,"£31,557",16-Jun-21,June,Q1,Midlands,West Northamptonshire,Theatre,"Over £15,000"
No Bindings,Another Pastoral,"£15,000",16-Jun-21,June,Q1,South West,"Bristol, City of",Visual arts,"£15,000 and below"
David Parkin,David Parkin's Delusions of Grandeur at Bethlem Museum of the Mind,"£44,932",16-Jun-21,June,Q1,Midlands,Leicester,Visual arts,"Over £15,000"
Analogue Farm CIC,Covid Secure Artist Residency Programme,"£15,000",16-Jun-21,June,Q1,North,Rossendale,Visual arts,"£15,000 and below"
Discovering42,Discovering42,"£14,300",16-Jun-21,June,Q1,South West,Cornwall,Visual arts,"£15,000 and below"
Janet Alexander,Deaf Warriors,"£14,941",16-Jun-21,June,Q1,North,Leeds,Theatre,"£15,000 and below"
Education and Bass,"Heritage Sounds - Genre, Culture and Production","£14,990",16-Jun-21,June,Q1,Midlands,West Northamptonshire,Music,"£15,000 and below"
Theatre in the Rough Festival,400 Parts Per Million,"£12,110",16-Jun-21,June,Q1,North,Chorley,Combined arts,"£15,000 and below"
Verve Poetry Festival,Verve Poetry Festival 2021-22,"£39,978",16-Jun-21,June,Q1,Midlands,Warwick,Literature,"Over £15,000"
Alison D'Souza,360 Audio/video viola/dance album/performance,"£15,000",16-Jun-21,June,Q1,London,Sutton,Music,"£15,000 and below"
ARCADE,ARCADE Community Producers,"£60,575",16-Jun-21,June,Q1,North,Scarborough,Theatre,"Over £15,000"
Creative Innovation Centre CIC,Lighting & Sound 2021,"£14,871",16-Jun-21,June,Q1,South West,Somerset West and Taunton,Music,Grassroots Music
Lughole,Lughole - Accessibility Grant,"£5,460",16-Jun-21,June,Q1,North,Sheffield,Music,Grassroots Music
Events With Intent LTD,24 Kitchen Street - Venue Development,"£38,425",16-Jun-21,June,Q1,North,Liverpool,Music,Grassroots Music
malachi mckenzie,Young Warrior Rebirth,"£14,900",17-Jun-21,June,Q1,London,Lewisham,Music,"£15,000 and below"
Willowbrook Farm Charity,Willowbrook Farm Arts Festival 2021,"£24,243",18-Jun-21,June,Q1,South East,Cherwell,Combined arts,"Over £15,000"
Spectrum Community Arts Ltd,Spectrum Community Development,"£18,689",18-Jun-21,June,Q1,South East,Central Bedfordshire,Combined arts,"Over £15,000"
Fin Walker,"Violence through bias: racial, gender & disability","£22,156",18-Jun-21,June,Q1,South East,Buckinghamshire,Dance,"Over £15,000"
Elizabeth Lewis Williams,Deception Island,"£26,970",18-Jun-21,June,Q1,South East,South Norfolk,Combined arts,"Over £15,000"
"University of Oxford, Ruskin School of Art",Afterimages,"£49,900",18-Jun-21,June,Q1,South East,Oxford,Visual arts,"Over £15,000"
Charlotte Spencer Projects,Re-submission Written in the Body R&D - a project about touch,"£31,806",18-Jun-21,June,Q1,South East,Brighton and Hove,Dance,"Over £15,000"
Red Earth Theatre Limited,The Red Tree,"£100,720",18-Jun-21,June,Q1,Midlands,Amber Valley,Theatre,National Activity Under £100k
The Chameleon Arts Cafe,The Chameleon Arts Cafe essential repairs,"£8,000",18-Jun-21,June,Q1,Midlands,Nottingham,Music,Grassroots Music
Meriden Bars,Tea Works Launch Event,"£15,000",18-Jun-21,June,Q1,Midlands,Birmingham,Music,Grassroots Music
Charlotte Arnold,Cautivas R&D,"£11,432",21-Jun-21,June,Q1,North,Leeds,Dance,"£15,000 and below"
jordan thomas,Rescue Ep Campaign,"£15,000",22-Jun-21,June,Q1,South East,Hertsmere,Music,"£15,000 and below"
Avril Corroon,Rising Damp R&D,"£9,241",22-Jun-21,June,Q1,London,Lewisham,Visual arts,"£15,000 and below"
Alison Carpenter-Hughes,A Divine Expression of Life,"£14,936",22-Jun-21,June,Q1,Midlands,Leicester,Visual arts,"£15,000 and below"
Marcia Edwards,Chain Stories Phase 1 Development,"£13,915",22-Jun-21,June,Q1,Midlands,Dudley,Dance,"£15,000 and below"
Elizabeth Rose Gibbs,Public Places and Contested Spaces,"£14,847",22-Jun-21,June,Q1,South West,North Somerset,Visual arts,"£15,000 and below"
LYNNEBEC,AlgoRHYTHM Live and Digital,"£19,496",22-Jun-21,June,Q1,Midlands,Birmingham,Dance,"£15,000 and below"
Laura Thomson,Summer's Parktime Adventure,"£24,450",22-Jun-21,June,Q1,London,Lewisham,Theatre,"£15,000 and below"
Isabelle Kenyon,"Outreach, Accessibility and Innovation FOTW Press","£10,781",22-Jun-21,June,Q1,Midlands,High Peak,Literature,"£15,000 and below"
Luke Brown,Walk of the Dandelion,"£14,750",22-Jun-21,June,Q1,South West,Eastleigh,Theatre,"£15,000 and below"
Gael Le Cornec,Green Stories - Artistic responses to Environmental justice,"£11,617",22-Jun-21,June,Q1,London,Greenwich,Theatre,"£15,000 and below"
Mark Mallabone,East Midlands Producing Collective: A Strategic Initiative,"£15,460",22-Jun-21,June,Q1,Midlands,Hinckley and Bosworth,Dance,"£15,000 and below"
Keisha Thompson,"Issy, BOSSS and Fractal Summer Development","£14,717",22-Jun-21,June,Q1,North,Manchester,Theatre,"£15,000 and below"
Uniao da Mocidade,"Amazonas, Guerreiras do Brasil - Amazons, warriors of Brazil","£13,100",22-Jun-21,June,Q1,London,Barnet,Combined arts,"£15,000 and below"
Meg Mosley,True Blue,"£15,500",22-Jun-21,June,Q1,South West,Wiltshire,Visual arts,"£15,000 and below"
Andrietta Brenk,OQDA/THE KNOT,"£14,202",22-Jun-21,June,Q1,London,Southwark,Dance,"£15,000 and below"
Malika's Poetry Kitchen,Malika's Poetry Kitchen,"£14,230",22-Jun-21,June,Q1,London,Lambeth,Literature,"£15,000 and below"
StoneCrabs Theatre Company,Playdoh Festival - The Things That Shape Us,"£14,970",22-Jun-21,June,Q1,South West,Isle of Wight,Theatre,"£15,000 and below"
Alexa Wright,Inside Story (working title),"£14,883",22-Jun-21,June,Q1,London,Islington,Visual arts,"£15,000 and below"
Coventry MotoFest Limited,Artist Lab,"£15,000",22-Jun-21,June,Q1,Midlands,Coventry,Combined arts,"£15,000 and below"
Amanda Jackson,Where the Red Kite flies,"£15,000",22-Jun-21,June,Q1,Midlands,"Herefordshire, County of",Visual arts,"£15,000 and below"
The Parish of Yate,Home from Home Engagement Programme,"£14,955",22-Jun-21,June,Q1,South West,South Gloucestershire,Combined arts,"£15,000 and below"
Absolute Theatre,Doldrums,"£5,550",22-Jun-21,June,Q1,Midlands,Sandwell,Theatre,"£15,000 and below"
Bladder and String,Inventions for Coventry,"£14,853",22-Jun-21,June,Q1,Midlands,Coventry,Theatre,"£15,000 and below"
Belinda Lazenby,Filming Grandma on the Moon,"£14,100",22-Jun-21,June,Q1,South West,Cornwall,Theatre,"£15,000 and below"
Vasiliki Antonopoulou,In the Name of the Father,"£14,950",22-Jun-21,June,Q1,London,Wandsworth,Visual arts,"£15,000 and below"
Judith Tucker,Hideaway: painting and poetry from the saltmarsh,"£13,660",23-Jun-21,June,Q1,North,Kirklees,Visual arts,"£15,000 and below"
Collectif and then...,Sailing Circus,"£15,000",23-Jun-21,June,Q1,North,Wyre,Theatre,"£15,000 and below"
Healthy Living Centre Dartford,Arts at the Allotment,"£14,500",23-Jun-21,June,Q1,South East,Dartford,Visual arts,"£15,000 and below"
Anwen Fryer,Blame Blake,"£4,836",23-Jun-21,June,Q1,North,Sheffield,Combined arts,"£15,000 and below"
Surrey Libraries,Imagination Centres,"£15,000",23-Jun-21,June,Q1,South East,Surrey Heath,Libraries,"£15,000 and below"
James Baldwin,Getting There 2021: Young Carers & Covid,"£36,500",23-Jun-21,June,Q1,London,Lewisham,Theatre,"£15,000 and below"
Moya Fox,Online recycled art workshops,"£5,260",23-Jun-21,June,Q1,North,Stockport,Visual arts,"£15,000 and below"
Past Futures,DOGGERLAND,"£10,000",23-Jun-21,June,Q1,London,Bromley,Visual arts,"£15,000 and below"
Cliftonville Cultural Space CIC,Cliftonville Cultural Space Organisational Development,"£12,273",23-Jun-21,June,Q1,South East,Thanet,Not discipline specific,"£15,000 and below"
Peter Machen,Asperger's Children R&D,"£11,886",23-Jun-21,June,Q1,North,Liverpool,Theatre,"£15,000 and below"
Jamie Wyld,Selected 2021 artists' film programme,"£6,540",23-Jun-21,June,Q1,South East,Brighton and Hove,Visual arts,"£15,000 and below"
Freddie Hayes,Potatohead - A new Contemporary Puppetry & Performance Art Work.,"£11,032",23-Jun-21,June,Q1,North,York,Theatre,"£15,000 and below"
Invaders Carnival Club,Shangri-La – A Hidden Paradise,"£15,000",23-Jun-21,June,Q1,London,Ealing,Combined arts,"£15,000 and below"
Amanda Mason,Portmanteau,"£1,603",23-Jun-21,June,Q1,North,Scarborough,Literature,"£15,000 and below"
Caron Kehoe,Unblurred Lines: Exploding Emily,"£3,680",23-Jun-21,June,Q1,London,Bromley,Theatre,"£15,000 and below"
Ransack Theatre Company,Catching Comets Tour 2021,"£13,170",23-Jun-21,June,Q1,North,Manchester,Theatre,"£15,000 and below"
Brighton Early Music Festival,"Free Ruggiero: early opera training & film adaptation of Caccini’s masterpiece designed to attract local & national non-traditional & diverse audiences to early opera through an appealing & accessible live performance, screenings & launch on our Vimeo channel","£14,700",23-Jun-21,June,Q1,South East,Brighton and Hove,Music,"£15,000 and below"
Tylor Deyn,Dead Dreams of a Young Boy - Dance on Camera,"£18,430",23-Jun-21,June,Q1,South East,Reading,Dance,"£15,000 and below"
Belinda Clarke,Dear Mother Nature R&D,"£14,946",23-Jun-21,June,Q1,London,Hounslow,Theatre,"£15,000 and below"
Theatre Temoin Limited,"Routes - Refugee Engagement, Co-Creation Mentoring, and Tour","£15,000",23-Jun-21,June,Q1,South East,Colchester,Theatre,"£15,000 and below"
Aleasha Chaunte,Out From the Narrow Place (Protagonist Production),"£17,000",23-Jun-21,June,Q1,North,Liverpool,Theatre,"£15,000 and below"
Erdogan Capli,DIRTY-OLD-TOWN,"£11,516",23-Jun-21,June,Q1,North,Manchester,Theatre,"£15,000 and below"
Will Hudson,Touching Distance,"£6,000",23-Jun-21,June,Q1,London,Islington,Theatre,"£15,000 and below"
Make & Mend Company,Make & Mend Festival 2021,"£15,000",23-Jun-21,June,Q1,North,Stockton-on-Tees,Visual arts,"£15,000 and below"
SVA,BML 51st State,"£10,185",23-Jun-21,June,Q1,London,Camden,Music,"£15,000 and below"
Adam Phillips,Foundation Press Strategic Collaborations and Artistic Development,"£15,000",23-Jun-21,June,Q1,North,Gateshead,Visual arts,"£15,000 and below"
Noise Orchestra,ANU Festival of Improvised Music,"£15,000",23-Jun-21,June,Q1,North,Manchester,Music,"£15,000 and below"
Mark Nixon,Another World,"£14,064",23-Jun-21,June,Q1,North,Northumberland,Visual arts,"£15,000 and below"
Art in Romney Marsh,Breathing Out,"£15,000",23-Jun-21,June,Q1,South East,Folkestone and Hythe,Visual arts,"£15,000 and below"
Surface Area Dance Theatre CIC,D/deaf Digital Commission 2021,"£23,880",23-Jun-21,June,Q1,North,Sunderland,Dance,"£15,000 and below"
Horns Watford,Mencap and adult disabilities musical monthly meet up,"£14,940",23-Jun-21,June,Q1,South East,Watford,Music,Grassroots Music
Call of The Wild Festival,Roadmap to Rock,"£14,950",23-Jun-21,June,Q1,North,Dumfries and Galloway,Music,Grassroots Music
Cambridge International Arts Festival,CIAF: Rural Engagement Programme,"£15,000",24-Jun-21,June,Q1,South East,South Cambridgeshire,Theatre,"£15,000 and below"
Gecko Theatre,Gecko 'The Wedding' - touring to support sector recovery,"£73,618",24-Jun-21,June,Q1,South East,Ipswich,Theatre,National Activity Under £100k
Ella Jade Peck Mesma,Children & Adults indoor & outdoor solos plus company development & duet R&D,"£49,950",24-Jun-21,June,Q1,South West,"Bristol, City of",Dance,National Activity Under £100k
Jacksons Lane,Back To Our Future,"£85,000",24-Jun-21,June,Q1,London,Haringey,Combined arts,National Activity Under £100k
Strike A Light (Gloucester),Arts and Social change- it is time,"£82,315",24-Jun-21,June,Q1,South West,Gloucester,Theatre,National Activity Under £100k
Larry Achiampong,Journey Home,"£25,595",24-Jun-21,June,Q1,South East,Thurrock,Visual arts,National Activity Under £100k
Create Studios Digital Media CIC,Making My Mark,"£74,570",24-Jun-21,June,Q1,South West,Swindon,Visual arts,National Activity Under £100k
Baltic Flour Mills Visual Arts Trust,Fair and Equitable - CVAN Five Year Strategy,"£50,693",24-Jun-21,June,Q1,North,Gateshead,Visual arts,National Activity Under £100k
NMC Recordings Ltd.,Lockdown Music: A National Survey,"£44,760",24-Jun-21,June,Q1,London,Tower Hamlets,Music,National Activity Under £100k
Leicester Arts Centre Limited,Careful Networks,"£32,230",24-Jun-21,June,Q1,Midlands,Leicester,Visual arts,National Activity Under £100k
Orchestras Live,Create Space,"£38,784",24-Jun-21,June,Q1,North,Leeds,Music,National Activity Under £100k
Art with Heart CIC,Stan National Tour,"£60,995",24-Jun-21,June,Q1,North,Salford,Theatre,National Activity Under £100k
Brass Bands England,Brass Foundations,"£48,000",24-Jun-21,June,Q1,North,Barnsley,Music,National Activity Under £100k
Poet in the City,National Young Producers R&D,"£86,600",24-Jun-21,June,Q1,London,Islington,Literature,National Activity Under £100k
Streetwise Opera,Create and Perform,"£29,337",24-Jun-21,June,Q1,London,Tower Hamlets,Music,National Activity Under £100k
Soft Touch Arts Ltd,Hello,"£68,168",24-Jun-21,June,Q1,Midlands,Leicester,Combined arts,National Activity Under £100k
Circolombia,New productions,"£65,660",24-Jun-21,June,Q1,London,Hammersmith and Fulham,Theatre,National Activity Under £100k
Lisa Kerley,Lisa Kerley,"£15,000",28-Jun-21,June,Q1,South West,Isle of Wight,Museums,"£15,000 and below"
Emma Bettridge,The Great Dog Bottom Swap R&D,"£14,741",28-Jun-21,June,Q1,South West,Somerset West and Taunton,Theatre,"£15,000 and below"
Dance Republic 2 CIC,SALT programme 2021,"£14,950",28-Jun-21,June,Q1,South West,Cornwall,Dance,"£15,000 and below"
Richard Graham,Junkbirds,"£14,935",28-Jun-21,June,Q1,South West,Winchester,Literature,"£15,000 and below"
Earthouse Storytelling Ambassadors,Coming Round to Your Place (redeveloped re-submission),"£34,956",29-Jun-21,June,Q1,South West,Dorset,Literature,"Over £15,000"
Doorstep Arts,Seeding Futures,"£21,330",29-Jun-21,June,Q1,South West,Torbay,Theatre,"Over £15,000"
Daily Life Ltd,"Digitising, Collaborating, Exhibiting and Archiving’","£28,500",29-Jun-21,June,Q1,London,Haringey,Visual arts,"Over £15,000"
Wasafiri Ltd,Wasafiri 'Craft' Podcast,"£20,778",29-Jun-21,June,Q1,London,Tower Hamlets,Literature,"Over £15,000"
Greenwich+Docklands Festivals,This Woven O: an arena of access for GDIF 2021,"£57,219",29-Jun-21,June,Q1,London,Greenwich,Combined arts,"Over £15,000"
Upswing Aerial Limited,Falling together,"£64,930",29-Jun-21,June,Q1,London,Tower Hamlets,Theatre,"Over £15,000"
The Devon Guild of Craftsmen,Crafting Futures,"£74,830",29-Jun-21,June,Q1,South West,Teignbridge,Visual arts,"Over £15,000"
CARGO,CARGO Classroom 2021,"£78,675",29-Jun-21,June,Q1,South West,"Bristol, City of",Combined arts,"Over £15,000"
Julie Hammon,Your Season of Stories,"£45,500",29-Jun-21,June,Q1,South West,Dorset,Combined arts,"Over £15,000"
Watershed Arts Trust Ltd,The Future is Collective,"£49,940",29-Jun-21,June,Q1,South West,"Bristol, City of",Combined arts,"Over £15,000"
Quirk Theatre Ltd,Rhia and The Tree of Lights,"£34,893",29-Jun-21,June,Q1,South West,Exeter,Theatre,"Over £15,000"
Tomorrow's Warriors Ltd,What's Going On,"£99,962",29-Jun-21,June,Q1,London,Harrow,Music,"Over £15,000"
OperaUpClose,Flying Dutchman R&D,"£25,780",29-Jun-21,June,Q1,South West,Southampton,Music,"Over £15,000"
Blue Elephant Theatre,Intergeneration Festival,"£38,878",29-Jun-21,June,Q1,London,Southwark,Theatre,"Over £15,000"
Libraries Unlimited South West,Finding Connection Through Loss,"£35,940",29-Jun-21,June,Q1,South West,Exeter,Libraries,"Over £15,000"
Katherine Hall,GATHER UP 2021/2023 - fuelling the dancing,"£45,938",29-Jun-21,June,Q1,South West,"Bristol, City of",Dance,"Over £15,000"
Spread the Word,Deptford Literature Festival,"£49,597",29-Jun-21,June,Q1,London,Lewisham,Literature,"Over £15,000"
Natasha Carthew,The Working Class Writers' Festival,"£43,090",29-Jun-21,June,Q1,South West,Cornwall,Literature,"Over £15,000"
Beaford Arts,"One Northern Devon Culture, Health and Wellbeing Case Study","£24,750",29-Jun-21,June,Q1,South West,North Devon,Visual arts,"Over £15,000"
Studio KIND.,1-year pilot programme at artist-led Studio KIND.,"£28,968",29-Jun-21,June,Q1,South West,North Devon,Visual arts,"Over £15,000"
Lancaster Music Festival CIC,Lancaster Music Festival 2021,"£32,473",30-Jun-21,June,Q1,North,Lancaster,Combined arts,"Over £15,000"
North East Lincolnshire Council,Festival of the Sky 2021,"£90,561",30-Jun-21,June,Q1,North,North East Lincolnshire,Combined arts,"Over £15,000"
Dudley MBC - Planning and Regeneration,Art Track - Metro Arts Programme,"£96,000",30-Jun-21,June,Q1,Midlands,Dudley,Visual arts,"Over £15,000"
Christopher Foley,iNk'd,"£13,743",30-Jun-21,June,Q1,London,Greenwich,Combined arts,"£15,000 and below"
Jameela Khan,Bird In The Window,"£29,327",30-Jun-21,June,Q1,North,Craven,Theatre,"Over £15,000"
TheSpace C.I.C.,Unlocked: Sky Arts Coventry commissions,"£98,550",30-Jun-21,June,Q1,Midlands,Birmingham,Visual arts,"Over £15,000"
CBGC CREATIVE INDUSTRIES LTD,WELL CURIOUS,"£28,697",30-Jun-21,June,Q1,Midlands,Warwick,Combined arts,"Over £15,000"
Grizedale Forest,Curating Climate Programme and Climate Pavilion,"£38,000",30-Jun-21,June,Q1,North,South Lakeland,Visual arts,"Over £15,000"
Performances Birmingham Limited,Back To Live,"£53,895",30-Jun-21,June,Q1,Midlands,Birmingham,Music,"Over £15,000"
SparkedEcho,Electric Medway 2021,"£15,000",30-Jun-21,June,Q1,South East,Medway,Combined arts,"£15,000 and below"
Craftspace,Craftspace,"£92,733",30-Jun-21,June,Q1,Midlands,Birmingham,Visual arts,"Over £15,000"
Manasamitra,Developing the Future,"£49,730",30-Jun-21,June,Q1,North,Kirklees,Combined arts,"Over £15,000"
Harrison Bernard,Haich Ber Na,"£10,680",30-Jun-21,June,Q1,London,Lewisham,Music,"£15,000 and below"
Alexandrina Hemsley,Yewande 103 Organisational Development,"£42,122",30-Jun-21,June,Q1,London,Lewisham,Dance,"Over £15,000"
Music:Leeds,Launchpad 2021/22,"£57,663",30-Jun-21,June,Q1,North,Leeds,Music,"Over £15,000"
Collar and TIE Ltd,Identities,"£49,810",30-Jun-21,June,Q1,Midlands,Worcester,Theatre,"Over £15,000"
Psappha Limited,Very Young Composers Scheme,"£30,000",30-Jun-21,June,Q1,North,Manchester,Music,"Over £15,000"
Paul O'Donnell,Symphony of Us,"£49,982",30-Jun-21,June,Q1,Midlands,Coventry,Theatre,"Over £15,000"
Pauline Mayers,The Mayers Ensemble - Organisational Development,"£49,830",30-Jun-21,June,Q1,North,Leeds,Combined arts,"Over £15,000"
James Cousins Company,BAC Takeover,"£49,950",30-Jun-21,June,Q1,London,Wandsworth,Dance,"Over £15,000"
MyHub Music Trust,MyHub Experimental Ensemble Project,"£23,995",30-Jun-21,June,Q1,North,Cheshire East,Music,"Over £15,000"
