Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Stacey Moon-Tracy,R&D Critical Care,"£25,260",1-Jun-23,June,Q1,Midlands,Mansfield,Theatre,"£30,000 and below",
William Sherratt,Cultural & Creative Exchange - from the Potteries to Kampala & back again,"£27,921",1-Jun-23,June,Q1,Midlands,Newcastle-under-Lyme,Music,"£30,000 and below",
It's Not Your Birthday But,Creativity Takes Courage,"£36,675",1-Jun-23,June,Q1,South East,Elmbridge,Visual arts,"Above £30,000",
B Team Theatre Company,The Garden in My Living Room origination & preview tour,"£55,320",1-Jun-23,June,Q1,Midlands,Derby,Theatre,"Above £30,000",
Tristan Hessing Ltd,Your Future Plastic,"£66,995",1-Jun-23,June,Q1,Midlands,Nottingham,Visual arts,"Above £30,000",
Creative Colchester,Colchester Culture Crawl,"£34,851",1-Jun-23,June,Q1,South East,Colchester,Combined arts,"Above £30,000",
Elmbridge Museum,Unlocking Collections,"£30,001",2-Jun-23,June,Q1,South East,Elmbridge,Museums,"Above £30,000",Unlocking Collections
Adverse Camber Productions,The Gods Are All Here: Phil Okwedy Tour,"£49,814",6-Jun-23,June,Q1,Midlands,Derbyshire Dales,Literature,"Above £30,000 - Over £30k Touring project",
Barefoot Opera,Young Artists Tour 23,"£35,160",6-Jun-23,June,Q1,South East,Hastings,Music,"Above £30,000 - Over £30k Touring project",
Hannah Slimmon,ONE SONG,"£49,700",6-Jun-23,June,Q1,South West,Rushmoor,Theatre,"Above £30,000 - Over £30k Touring project",
Close To Home Productions,Identities 2023 Autumn Tour,"£68,492",6-Jun-23,June,Q1,North,Warrington,Theatre,"Above £30,000 - Over £30k Touring project",
Lewys Holt,Empty Orchestra Touring 2023,"£52,996",6-Jun-23,June,Q1,North,Leeds,Dance,"Above £30,000 - Over £30k Touring project",
Tom McLuckie,FUTURA Glitch International Tour,"£39,000",6-Jun-23,June,Q1,London,Manchester,Combined arts,"Above £30,000 - Over £30k Touring project",
Paola Estrella Contreras,Diasporas Now,"£35,813",6-Jun-23,June,Q1,London,Hammersmith and Fulham,Visual arts,"Above £30,000 - Over £30k Touring project",
Sarah Blanc,Punk Alley Tour,"£119,723",6-Jun-23,June,Q1,London,Waltham Forest,Dance,"Above £30,000 - Over £30k Touring project",
Theatre-Rites,Zoe's Peculiar Journey Through Time,"£39,653",6-Jun-23,June,Q1,London,Hackney,Theatre,"Above £30,000 - Over £30k Touring project",
Joshua Young,The Enby Show Resubmission 2023,"£34,110",7-Jun-23,June,Q1,London,Waltham Forest,Theatre,"£30,000 and below",
Bolton Metropolitan Borough Council,Outdoor Arts Project,"£29,350",7-Jun-23,June,Q1,North,Bolton,Combined arts,"£30,000 and below",
Rebecca Rowson,Red Pill,"£30,904",7-Jun-23,June,Q1,South East,Rochford,Theatre,"£30,000 and below",
Maria Josefa Duarte Soldevilla,Eating Myself Tour - New Ingredients,"£19,971",7-Jun-23,June,Q1,London,Lambeth,Theatre,"£30,000 and below",
Toby Clarke,'Rep' at Brixton House,"£26,675",7-Jun-23,June,Q1,London,Bromley,Theatre,"£30,000 and below",
CAMP TRANS CIC,Camp Trans 2023 (resubmission),"£24,353",7-Jun-23,June,Q1,London,Hackney,Combined arts,"£30,000 and below",
[Foreign Affairs],The Wetsuitman and beyond (FA development & growth),"£17,063",7-Jun-23,June,Q1,London,Hackney,Theatre,"£30,000 and below",
Stephanie Papadopoulos,Indigo Project - Combined Art Programme,"£10,000",7-Jun-23,June,Q1,London,Barnet,Combined arts,"£30,000 and below",
Jennifer Jackson,WRESTLELADSWRESTLE a project for women and girls: Development.,"£29,365",7-Jun-23,June,Q1,North,Tameside,Combined arts,"£30,000 and below",
Paper Gallery Manchester Ltd,the Fourdrinier Professional Art Writing Development Scheme,"£26,241",7-Jun-23,June,Q1,North,Manchester,Literature,"£30,000 and below",
Chantelle Dusette,Being Kim K,"£23,220",7-Jun-23,June,Q1,London,Kensington and Chelsea,Theatre,"£30,000 and below",
Peculius Stage LTD,Slapstick Picnic: Peter Pan,"£23,210",7-Jun-23,June,Q1,North,Wigan,Theatre,"£30,000 and below",
sarah palmer,Periphery,"£26,768",7-Jun-23,June,Q1,North,Sheffield,Visual arts,"£30,000 and below",
Street Beat College,Young Creatives,"£14,625",7-Jun-23,June,Q1,North,North Lincolnshire,Dance,"£30,000 and below",
Edgar Borrego Martins,"Our War: an exhibition and public engagement project exploring the representation of conflict, loss and trauma through a neurodiverse experience of the world","£23,500",7-Jun-23,June,Q1,South East,Bedford,Visual arts,"£30,000 and below",
Ananda Arts,Ananda Odissi Festival 2023,"£25,184",7-Jun-23,June,Q1,South East,Bedford,Dance,"£30,000 and below",
Treehouse Theatre,Cinderella Stories,"£29,521",7-Jun-23,June,Q1,South West,"Bournemouth, Christchurch and Poole",Theatre,"£30,000 and below",
Rebekah Okpoti,Women Chained to the Cathedra,"£22,000",7-Jun-23,June,Q1,North,Blackburn with Darwen,Music,"£30,000 and below",
Brighton Early Music Festival,"Dynamic Reconnections: past and present - our project will reconnect threads between our work, the rich diversity of communities we serve and the beautiful and vastly varied tapestry of shared human culture and traditions from around the globe that share roots in the past 1000 years of music","£26,592",7-Jun-23,June,Q1,South East,Brighton and Hove,Music,"£30,000 and below",
Blackburn with Darwen Libraries,Children's Literature Festival 2023,"£30,000",7-Jun-23,June,Q1,North,Blackburn with Darwen,Combined arts,"£30,000 and below",
Slot Machine Theatre Ltd,Slot Machine Theatre - SNUG immersive theatre pod creation,"£20,000",7-Jun-23,June,Q1,South East,Lewes,Visual arts,"£30,000 and below",
Elisabeth Bennett,40 Elephants,"£27,664",7-Jun-23,June,Q1,South West,Exeter,Theatre,"£30,000 and below",
Oxford Peoples Theatre,Grimm's Tales,"£20,000",7-Jun-23,June,Q1,South East,Oxford,Theatre,"£30,000 and below",
The-Big-Reveal,Voices in the Wilderness,"£20,000",7-Jun-23,June,Q1,South East,Dover,Combined arts,"£30,000 and below",
Simon Marshall,"BONFIRE [Production, Participation Programme & Tour] (May Submission)","£33,036",8-Jun-23,June,Q1,Midlands,Amber Valley,Theatre,"£30,000 and below",
North East Lincolnshire Council,NEL Place Partnership Programme,"£450,000",8-Jun-23,June,Q1,North,North East Lincolnshire,Not discipline specific,"Above £30,000 - Place Partnership project",NULL
POWERHOUSE,Powerhouse Pioneers,"£30,000",8-Jun-23,June,Q1,Midlands,"Herefordshire, County of",Theatre,"£30,000 and below",
Salford City Council,#TheCityIsTheVenue,"£749,600",8-Jun-23,June,Q1,North,Salford,Not discipline specific,"Above £30,000 - Place Partnership project",NULL
Nexus Cast & Crew Network CIC,Nexus Cast & Crew Network: 3-pillar Accessibility Accelerator,"£35,492",8-Jun-23,June,Q1,Midlands,Birmingham,Combined arts,"£30,000 and below",
Paul Golz,These stories we tell - R&D exploring childhood trauma/ schools outreach & Org Dev,"£32,500",8-Jun-23,June,Q1,Midlands,Bromsgrove,Dance,"£30,000 and below",
Art in Romney Marsh,A Siren's Call,"£29,500",13-Jun-23,June,Q1,South East,Folkestone and Hythe,Visual arts,"£30,000 and below",
pink suits CIC,New Creation & National Tour,"£28,764",13-Jun-23,June,Q1,South East,Thanet,Dance,"£30,000 and below",
The Crew Club,Hawk Sounds,"£29,935",13-Jun-23,June,Q1,South East,Brighton and Hove,Music,"£30,000 and below",
Nikki Kenward,Epic Minds,"£9,769",13-Jun-23,June,Q1,South East,Buckinghamshire,Theatre,"£30,000 and below",
Helen Statman,Shangri-Lala,"£29,900",13-Jun-23,June,Q1,South East,Great Yarmouth,Theatre,"£30,000 and below",
Museum of North Craven Life,Finding the key: unlocking North Craven's past,"£100,000",14-Jun-23,June,Q1,North,North Yorkshire,Museums,"Above £30,000",Unlocking Collections
Hockley Hustle,Hockley Hustle/Young Hustlers 2023,"£99,977",14-Jun-23,June,Q1,Midlands,Rushcliffe,Combined arts,"Above £30,000",
Sharon Jacksties,Pop Up Tales,"£5,000",14-Jun-23,June,Q1,South West,Somerset,Literature,"£30,000 and below",
Shoddy Theatre,A Shoddy Detective and Workshop tour of NE (Resubmission),"£34,923",14-Jun-23,June,Q1,North,Northumberland,Theatre,"£30,000 and below",
Lancaster Music Festival CIC,Lancaster Music Festival 2023,"£69,734",14-Jun-23,June,Q1,North,Lancaster,Music,"Above £30,000",
Gary Lloyd,Disunited Jukebox 2023 - Version 3,"£30,000",14-Jun-23,June,Q1,North,Cheshire West and Chester,Music,"£30,000 and below",
Four of Swords,The Greeks!,"£29,977",14-Jun-23,June,Q1,South West,West Devon,Theatre,"£30,000 and below",
Serpentine Community  Garden,Well Keepers Art Group,"£16,753",14-Jun-23,June,Q1,Midlands,High Peak,Visual arts,"£30,000 and below",
Sandown Carnival Association,The Great Sandown Hat Revival,"£11,500",14-Jun-23,June,Q1,South West,Isle of Wight,Combined arts,"£30,000 and below",
Healing Arts NCIC,The All Gas & Galloping Gang,"£49,885",14-Jun-23,June,Q1,North,Cumberland,Combined arts,"Above £30,000",
Docks Academy,Fresh Catch,"£40,000",14-Jun-23,June,Q1,North,North East Lincolnshire,Music,"Above £30,000",Supporting Grassroots Live Music
Flare Arts,Flare Arts,"£45,240",14-Jun-23,June,Q1,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Swindon Museum and Art Gallery,Unlocking Collections,"£92,710",14-Jun-23,June,Q1,South West,Swindon,Museums,"Above £30,000",Unlocking Collections
cabinet of living cinema,The Orchestra of Enchanted Sounds,"£12,635",14-Jun-23,June,Q1,South West,"Bournemouth, Christchurch and Poole",Visual arts,"£30,000 and below",
Cuckoo Bang LTD,Medusa’s First Kiss - Co-Pro with Little Angel Theatre,"£35,871",14-Jun-23,June,Q1,London,Lewisham,Theatre,"£30,000 and below",
Showponies Ltd,Poems of Consumption,"£11,475",14-Jun-23,June,Q1,London,Haringey,Music,"£30,000 and below",
Lula Mebrahtu,Oommo - Episode 1,"£29,625",14-Jun-23,June,Q1,London,Hackney,Theatre,"£30,000 and below",
Cabasa carnival Arts CIC,The Living Dress,"£49,000",14-Jun-23,June,Q1,North,Tameside,Visual arts,"Above £30,000",
Shivaangee Agrawal,"TITLE: (NLPG 00610172) RESUBMISSION THE NEXT STAGES OF VELOCITIES; A NEW GROUP WORK THAT CONTINUES MY RESEARCH INTO COLLECTIVITY (DEVELOPMENT, PREMIERE, PERFORMANCES & WORKSHOPS)","£39,280",14-Jun-23,June,Q1,London,Lambeth,Dance,"£30,000 and below",
Callum Holt,Producer Training Programme,"£29,022",14-Jun-23,June,Q1,North,Leeds,Combined arts,"£30,000 and below",
Laura Hague,Do You Understand Me? - Workshops and R&D for and inspired by the dementia community,"£25,312",14-Jun-23,June,Q1,London,Solihull,Dance,"£30,000 and below",
Collette Murray,Environmental Shakespeare - Bolton schools theatre project,"£29,500",14-Jun-23,June,Q1,North,Bury,Theatre,"£30,000 and below",
BitterSuite Experiences,FEEL: R&D,"£30,000",14-Jun-23,June,Q1,London,Lambeth,Music,"£30,000 and below",
Natalie Bignell,Splitting Seeds: An exploration of art-making and paralysis,"£10,365",14-Jun-23,June,Q1,London,Tower Hamlets,Visual arts,"£30,000 and below",
Leeds City Council (Leeds International Concert Season),LICS on Tour 2023/24,"£80,185",14-Jun-23,June,Q1,North,Leeds,Music,"Above £30,000",
Collective Encounters,Community Chronicles,"£99,500",14-Jun-23,June,Q1,North,Liverpool,Theatre,"Above £30,000",
Leeds 2023,Melt (working title),"£100,000",14-Jun-23,June,Q1,North,Leeds,Theatre,"Above £30,000",
S & K Creative Artz Kidz C.I.C,Creative Dreams,"£30,246",14-Jun-23,June,Q1,Midlands,Wolverhampton,Combined arts,"£30,000 and below",
Will Jackson,Quick Duck Theatre 2023 / 2024 Season,"£22,443",14-Jun-23,June,Q1,Midlands,Birmingham,Theatre,"£30,000 and below",
Curious Arts Ltd,Curious Arts 2023 - Creative & Community Programme and Organisational development,"£100,800",14-Jun-23,June,Q1,North,Newcastle upon Tyne,Combined arts,"Above £30,000",
Autin Dance Theatre,Outdoor Arts Participatory & Community Engagement Programmes and Technical Production Management [Organisation Development],"£33,500",14-Jun-23,June,Q1,Midlands,Birmingham,Theatre,"£30,000 and below",
TeesDance,"Dance in the Tees Valley – Ecology, Growth and Creativity","£98,976",14-Jun-23,June,Q1,North,Stockton-on-Tees,Dance,"Above £30,000",
ArtfulScribe,NEWRITE,"£98,276",14-Jun-23,June,Q1,South West,Southampton,Literature,"Above £30,000",
Merseyside Arts Foundation,Music Development Programme 2023-24,"£33,308",14-Jun-23,June,Q1,North,Liverpool,Music,"Above £30,000",
Elusive Festival Ltd,A Series of Elusive Events 2023 V.3.1,"£15,750",14-Jun-23,June,Q1,London,Hackney,Music,"£30,000 and below",Supporting Grassroots Live Music
Constella OperaBallet,Connecting Stars - Phase 5,"£27,000",14-Jun-23,June,Q1,London,Westminster,Music,"£30,000 and below",
RAF Museum,Inspiring Everyone: RAF Museum Midlands Development Programme,"£99,999",15-Jun-23,June,Q1,Midlands,Shropshire,Museums,"Above £30,000",Unlocking Collections
Coventry Biennial Ltd,Delivering Coventry Biennial 2023,"£98,000",15-Jun-23,June,Q1,Midlands,Coventry,Visual arts,"Above £30,000",
Croydonites Festival of New Theatre,Croydonites Festival 2023,"£76,895",15-Jun-23,June,Q1,London,Croydon,Theatre,"Above £30,000",
Moonwalking Bear Productions,Fire Raisers Creation,"£82,961",15-Jun-23,June,Q1,London,Haringey,Dance,"Above £30,000",
HoxtonHall,Hoxton Music Hub,"£39,217",15-Jun-23,June,Q1,London,Hackney,Music,"Above £30,000",Supporting Grassroots Live Music
Tanya RaabeWebber,Futures in Practice,"£125,376",15-Jun-23,June,Q1,Midlands,Shropshire,Visual arts,"Above £30,000",
Metta Theatre,2023/24 Eco Sherlock - premiere & cast album,"£85,400",16-Jun-23,June,Q1,South East,West Berkshire,Theatre,"Above £30,000",
Littlehampton Museum,Project Time Machine part 1: The Community,"£37,468",16-Jun-23,June,Q1,South East,Arun,Museums,"Above £30,000",Unlocking Collections
Creative Paths (EM) CIC,Back in The Day,"£19,229",19-Jun-23,June,Q1,Midlands,Broxtowe,Visual arts,"£30,000 and below",
Bridie Squires,Casino Zero: Research and Development at Nottingham Playhouse,"£30,370",19-Jun-23,June,Q1,Midlands,Nottingham,Theatre,"£30,000 and below",
Copasetic Foundation,Celebrating Ben Webster,"£3,250",20-Jun-23,June,Q1,London,Harrow,Music,"£30,000 and below",
Tightrope Theatre,IKARIA: UK Tour,"£29,453",20-Jun-23,June,Q1,London,Brent,Theatre,"£30,000 and below",
Stephanie Handjiiska,"Not a Crab, Not a Fish","£14,341",20-Jun-23,June,Q1,London,Wandsworth,Dance,"£30,000 and below",
Red Lotus Events CIC,Rangeelu Gujarat 2023,"£29,442",20-Jun-23,June,Q1,London,Brent,Combined arts,"£30,000 and below",
Nick Field,CultSong: Final Production & Community Engagement Programme,"£21,850",20-Jun-23,June,Q1,South West,Lambeth,Literature,"£30,000 and below",
Fion Gunn,Boundless: Transitions,"£29,896",20-Jun-23,June,Q1,London,Lambeth,Visual arts,"£30,000 and below",
James Alston,Scarlet Sunday: a new project empowering survivors of domestic violence,"£30,513",20-Jun-23,June,Q1,South West,Richmond upon Thames,Theatre,"£30,000 and below",
Leo Graham,2023 tour,"£28,866",20-Jun-23,June,Q1,London,Greenwich,Theatre,"£30,000 and below",
New Diorama,"New Diorama Theatre (NDT) Community Programme 2023 – Creating, Connecting & Consulting","£27,876",20-Jun-23,June,Q1,London,Camden,Theatre,"£30,000 and below",
Westbourne Publishers Ltd,"Woman, Life, Freedom: Writing + Art from Iran's frontline","£19,000",20-Jun-23,June,Q1,London,Hounslow,Literature,"£30,000 and below",
Ryan Powell,Flight Lines,"£14,283",20-Jun-23,June,Q1,London,Waltham Forest,Visual arts,"£30,000 and below",
Elaine McNeill,Summer Theatre Tour for Older Adults Liverpool,"£28,364",21-Jun-23,June,Q1,North,Liverpool,Theatre,"£30,000 and below",
CAST,START festival 2023,"£17,500",21-Jun-23,June,Q1,North,South Tyneside,Combined arts,"£30,000 and below",
The Creative Seed CIC,Carnival Culture and Community - Part 2,"£29,900",21-Jun-23,June,Q1,North,South Tyneside,Combined arts,"£30,000 and below",
Wayne Jackson,And Here I Find Myself (Tour),"£7,328",21-Jun-23,June,Q1,North,Tameside,Theatre,"£30,000 and below",
Greedy Pig Theatre Company,Clementine And The Midwinter Light,"£29,986",21-Jun-23,June,Q1,South West,Bath and North East Somerset,Theatre,"£30,000 and below",
Natalie Penn,Ready Set Read: Jack and the Beanstalk,"£30,396",21-Jun-23,June,Q1,South East,Reading,Combined arts,"£30,000 and below",
Brighton Youth Centre,Bfest:Decade,"£27,597",21-Jun-23,June,Q1,South East,Brighton and Hove,Combined arts,"£30,000 and below",
MusicLinks Limited,JamTent and MicroFests 2023,"£27,700",21-Jun-23,June,Q1,North,Westmorland and Furness,Music,"£30,000 and below",
SPUD,The Living Room,"£17,000",21-Jun-23,June,Q1,South West,New Forest,Not discipline specific,"£30,000 and below",
Serin Ibrahim-Haddrell,IT'S OK TO NOT BE OK,"£25,000",21-Jun-23,June,Q1,London,South Cambridgeshire,Theatre,"£30,000 and below",
Stuart Edmundson,"""Otherworlds / Annwn""","£8,459",21-Jun-23,June,Q1,South West,North Devon,Visual arts,"£30,000 and below",
Claire Barrett,Alien Pastoral,"£25,918",21-Jun-23,June,Q1,South East,Brighton and Hove,Visual arts,"£30,000 and below",
Red Herring Games LTD,Untitled - Creative Writing,"£29,950",21-Jun-23,June,Q1,North,North East Lincolnshire,Literature,"£30,000 and below",
Playwell Productions CIC,RESUBMISSION: Coastal touring pathway music R&D,"£29,757",21-Jun-23,June,Q1,South East,Reading,Theatre,"£30,000 and below",
Tom Thumbb Theatre,Tom Thumb Theatre Strategic Development of Membership Scheme and Support of New Theatre,"£30,000",21-Jun-23,June,Q1,South East,Thanet,Theatre,"£30,000 and below",
Moving Memory Dance Theatre,The Devil's Doorbell (Production),"£29,875",21-Jun-23,June,Q1,South East,Swale,Dance,"£30,000 and below",
Christopher Ward,"""A&E"" Opera at Grimeborn Music Festival 2023","£16,500",21-Jun-23,June,Q1,South East,South Oxfordshire,Music,"£30,000 and below",
Emmanuel McDonald,Ebi Dende,"£29,835",21-Jun-23,June,Q1,South East,Hastings,Combined arts,"£30,000 and below",
Peter James Stanley,Ghosts of the Near Future - 2023 Tour,"£30,000",21-Jun-23,June,Q1,South West,East Hampshire,Theatre,"£30,000 and below",
Maya & Toussaint,Okan,"£31,498",21-Jun-23,June,Q1,North,Leeds,Dance,"£30,000 and below",
Elenor Bowers-Jolley,Boston to Boston: Sing for the Future,"£14,453",21-Jun-23,June,Q1,South East,South Norfolk,Music,"£30,000 and below",
Heena Patel,Multitudes Zine Festival,"£34,265",21-Jun-23,June,Q1,North,Manchester,Visual arts,"£30,000 and below",
Derbyshire County Council Economy and Regeneration,Derbyshire's Festival of Making,"£780,000",22-Jun-23,June,Q1,Midlands,Derbyshire Dales,Combined arts,"Above £30,000 - Place Partnership project",NULL
Stoke Creates,Stoke Creates,"£794,000",22-Jun-23,June,Q1,Midlands,Stoke-on-Trent,Not discipline specific,"Above £30,000 - Place Partnership project",NULL
Richard Chappell Dance CIC,Home Revisited,"£38,990",23-Jun-23,June,Q1,South West,Exeter,Dance,"Above £30,000 - Over £30k Touring project",
Periplum CIC,North Sea Sirens,"£185,000",23-Jun-23,June,Q1,South East,County Durham,Combined arts,"Above £30,000 - Over £30k Touring project",
ZooNation: The Kate Prince Company Ltd,Message in a Bottle US & Canada Tour,"£226,213",23-Jun-23,June,Q1,London,Islington,Dance,"Above £30,000 - Over £30k Touring project",
Tyke Films,The Tell Tale Rooms,"£75,490",23-Jun-23,June,Q1,North,Sheffield,Visual arts,"Above £30,000 - Over £30k Touring project",
Como No Promotions Ltd,New Regency Orchestra Tour,"£57,830",23-Jun-23,June,Q1,London,Southwark,Music,"Above £30,000 - Over £30k Touring project",
Good Enough Mums Club Limited,The Good Enough Mums Club - Musical - National Tour and Community Engagement,"£139,748",23-Jun-23,June,Q1,Midlands,Birmingham,Theatre,"Above £30,000 - Over £30k Touring project",
Les Enfants Terribles Theatre Company,Tour of The House with Chicken Legs,"£99,898",23-Jun-23,June,Q1,South East,Reigate and Banstead,Theatre,"Above £30,000 - Over £30k Touring project",
Benjamin Sebastian,REFRACT (Resubmission),"£65,348",23-Jun-23,June,Q1,London,Hackney,Visual arts,"Above £30,000 - Over £30k Touring project",
Karl Sinclair,UK Sound System Heritage Tour,"£33,097",23-Jun-23,June,Q1,London,Waltham Forest,Music,"Above £30,000 - Over £30k Touring project",Supporting Grassroots Live Music
Inspiration Arts,Carnival Arts Project,"£50,000",26-Jun-23,June,Q1,London,Waltham Forest,Combined arts,"Above £30,000",
Open Door People,OD 23/24,"£78,910",26-Jun-23,June,Q1,London,Camden,Theatre,"Above £30,000",
Music and Theatre for All,Our Street: The Lewisham Urban Opera,"£52,383",26-Jun-23,June,Q1,London,Lewisham,Music,"Above £30,000",
Hannah Nichols,Shedding Skins: Workshops and R&D resubmission,"£24,094",27-Jun-23,June,Q1,London,Hackney,Visual arts,"£30,000 and below",
Olufunmilola Theresa Adepeju,Who We Beans Project,"£18,291",27-Jun-23,June,Q1,London,Bromley,Literature,"£30,000 and below",
Seethrough Theatre Company,CarnivALL,"£29,930",27-Jun-23,June,Q1,London,Camden,Combined arts,"£30,000 and below",
Harmony Creations,Utsav,"£4,480",27-Jun-23,June,Q1,London,Harrow,Combined arts,"£30,000 and below",
Eloina Haines,HIGH STEAKS R&D & tour,"£31,449",27-Jun-23,June,Q1,London,Hounslow,Theatre,"£30,000 and below",
CN Lester,The Unknown Goddess: An Imaginary Opera by Barbara Strozzi,"£13,589",27-Jun-23,June,Q1,London,Richmond upon Thames,Music,"£30,000 and below",
Stoke Road Festival 2023,Stoke Road Festival 2023,"£16,880",27-Jun-23,June,Q1,South West,Gosport,Combined arts,"£30,000 and below",
Sidmouth FolkWeek Productions Ltd,The Sidmouth Story,"£29,600",27-Jun-23,June,Q1,South West,Havant,Combined arts,"£30,000 and below",
Sanskruti Cambridge CIC,Touring Apple 'N' Spice & Magical Honey in 2023-2024,"£81,529",27-Jun-23,June,Q1,South East,South Cambridgeshire,Dance,"Above £30,000 - Over £30k Touring project",
Rachael Merry,Integrated Interpreting Processes for Best Practice,"£15,497",27-Jun-23,June,Q1,South West,Basingstoke and Deane,Theatre,"£30,000 and below",
Nikki Northover,Choreography Geography 2023,"£13,199",27-Jun-23,June,Q1,South West,Dorset,Dance,"£30,000 and below",
ACJ Events Ltd,Programming,"£25,000",27-Jun-23,June,Q1,South West,East Hampshire,Music,"£30,000 and below",Supporting Grassroots Live Music
Sam Lapham,The Island's Cry,"£17,638",27-Jun-23,June,Q1,South West,Isle of Wight,Theatre,"£30,000 and below",
Wiltshire Young Musicians,Pick Up And Play,"£7,649",27-Jun-23,June,Q1,South West,Wiltshire,Music,"£30,000 and below",
Matthew Parvin,Gentlemen at Arcola Theatre 2023 Resubmission,"£27,499",27-Jun-23,June,Q1,London,Lewisham,Theatre,"£30,000 and below",
GREEN GINGER,RATLab Schools Tour 2023 - application 2,"£29,987",27-Jun-23,June,Q1,South West,"Bristol, City of",Theatre,"£30,000 and below",
Generation Arts,Summer Project 2023,"£15,000",28-Jun-23,June,Q1,London,Newham,Theatre,"£30,000 and below",
Social Convention,New Music Newham: Supporting Grassroots Music In Newham,"£29,228",28-Jun-23,June,Q1,London,Newham,Music,"£30,000 and below",Supporting Grassroots Live Music
Leeds City Council,Light Night Leeds 2023,"£150,000",28-Jun-23,June,Q1,North,Leeds,Combined arts,"Above £30,000 - Over £100k application",
Margate Pride CIC,Margate Pride Festival 2023 RESUBMISSION,"£30,000",28-Jun-23,June,Q1,South East,Thanet,Combined arts,"£30,000 and below",
Lorraine Lucas,Folkestone Songwriting Festival,"£24,756",28-Jun-23,June,Q1,South East,Folkestone and Hythe,Music,"£30,000 and below",
Jodie Mitchell,Becoming John Travulva,"£32,620",28-Jun-23,June,Q1,Midlands,South Staffordshire,Theatre,"£30,000 and below",
Henry Driver,WATER PORTALS,"£30,000",28-Jun-23,June,Q1,South East,West Suffolk,Visual arts,"£30,000 and below",
Zahra Haji Fath Ali Tehrani,For You,"£15,400",28-Jun-23,June,Q1,South East,Oxford,Music,"£30,000 and below",
Greta Sharp,Screaming At The Sea Workshop Series,"£7,524",28-Jun-23,June,Q1,South East,Thanet,Combined arts,"£30,000 and below",
School Of European Culture & Languages,Hulked,"£27,153",28-Jun-23,June,Q1,South East,Canterbury,Combined arts,"£30,000 and below",
Pavilion,"Here, Now & the Future: Catalysing West Yorkshire’s moving image artists in Pavilion’s 40th year","£48,500",28-Jun-23,June,Q1,North,Leeds,Combined arts,"Above £30,000",
Daniel Lukehurst,"1,2 Punch – Pilot Tour","£29,991",28-Jun-23,June,Q1,Midlands,Birmingham,Dance,"£30,000 and below",
Anna Marshall,Glass Ceiling Beneath the Stars,"£31,156",28-Jun-23,June,Q1,North,Leeds,Theatre,"£30,000 and below",
Alex Moran,Shock Horror (Tour),"£14,911",28-Jun-23,June,Q1,North,Leeds,Theatre,"£30,000 and below",
Kenneth Emson,Tendring Mental Health project,"£15,460",28-Jun-23,June,Q1,South East,Thurrock,Theatre,"£30,000 and below",
Community Interest Luton,There's No Place Like Home,"£15,000",28-Jun-23,June,Q1,South East,Luton,Combined arts,"£30,000 and below",
jessica walker,TREAD,"£29,274",28-Jun-23,June,Q1,London,Buckinghamshire,Dance,"£30,000 and below",
Indigo Moon Theatre,Jungle Book / The Lost Forest - remount and touring,"£22,915",28-Jun-23,June,Q1,North,"Kingston upon Hull, City of",Theatre,"£30,000 and below",
Council of the Isles of Scilly,Creative Islands Phase 2,"£73,450",28-Jun-23,June,Q1,South West,Isles of Scilly,Combined arts,"Above £30,000",
Lauren Kendrick,Peterborough Project,"£32,969",28-Jun-23,June,Q1,South East,Peterborough,Combined arts,"£30,000 and below",
Staffordshire Association for Black Lives Equality CIC,Community Carnival Celebration,"£30,000",28-Jun-23,June,Q1,Midlands,Stoke-on-Trent,Combined arts,"£30,000 and below",
Nadia Nadarajah,FlareWave Festival 2023,"£61,752",28-Jun-23,June,Q1,South East,Lewes,Combined arts,"Above £30,000",
Xenia Aidonopoulou,Skydiver: Creation and presentation of early years Dance Theatre,"£29,990",28-Jun-23,June,Q1,South East,North Hertfordshire,Dance,"£30,000 and below",
GISELLE Carter-Sandy,"Heritage, History, Harmony","£29,850",28-Jun-23,June,Q1,South East,Castle Point,Combined arts,"£30,000 and below",
Blown Fuse Ltd,Re:Route - R&D & Community Outreach,"£32,648",28-Jun-23,June,Q1,South East,Rochford,Theatre,"£30,000 and below",
Jack Drum Arts,Crook Winter Light Parade,"£30,000",28-Jun-23,June,Q1,North,County Durham,Combined arts,"£30,000 and below",
Susannah Harriet C Fraser,Witch & the Egg,"£18,059",28-Jun-23,June,Q1,South East,Norwich,Theatre,"£30,000 and below",
Sir John Moore Foundation,History Club,"£7,500",28-Jun-23,June,Q1,Midlands,North West Leicestershire,Museums,"£30,000 and below",
Gather Create Grow CIC,Cosby Yarn Bomb 2023,"£29,636",28-Jun-23,June,Q1,Midlands,Blaby,Combined arts,"£30,000 and below",
Hot Poets,Hot Poets International,"£89,139",28-Jun-23,June,Q1,South West,Somerset,Literature,"Above £30,000",
Cohere Arts CIC,HerStory International Audience Development,"£4,739",28-Jun-23,June,Q1,South East,East Suffolk,Combined arts,"£30,000 and below",
Dragons cultural club 23,Dragons Cultural Club 23,"£22,700",28-Jun-23,June,Q1,London,Hillingdon,Combined arts,"£30,000 and below",
